type1,type2,cross_reac
A,A3,0.45
A,B,0.72
A,C,0.58
A,C3,0.63
A,D,0.56
A,D3,0.76
A,E,0.59
A,E3,0.61
A,F,0.58
A,F3,0.66
A,G,0.41
A,H,0.74
A,H3,0.54
A,I,0.58
A,I3,0.91
A,J,0.52
A,K,0.38
A,L,0.65
A,M,0.64
A,N,0.51
A,T,0.54
A,U,0.61
A3,B,0.48
A3,C,0.36
A3,C3,0.48
A3,D,0.4
A3,D3,0.41
A3,E,0.53
A3,E3,0.47
A3,F,0.54
A3,F3,0.47
A3,G,0.4
A3,H,0.6
A3,H3,0.5
A3,I,0.41
A3,I3,0.53
A3,J,0.31
A3,K,0.35
A3,L,0.56
A3,M,0.34
A3,N,0.46
A3,T,0.54
A3,U,0.44
B,C,0.67
B,C3,0.53
B,D,0.59
B,D3,0.45
B,E,0.66
B,E3,0.53
B,F,0.6
B,F3,0.5
B,G,0.56
B,H,0.7
B,H3,0.54
B,I,0.57
B,I3,0.68
B,J,0.45
B,K,0.45
B,L,0.66
B,M,0.56
B,N,0.44
B,T,0.64
B,U,0.67
C,C3,0.53
C,D,0.71
C,D3,0.38
C,E,0.65
C,E3,0.55
C,F,0.68
C,F3,0.46
C,G,0.62
C,H,0.64
C,H3,0.62
C,I,0.54
C,I3,0.57
C,J,0.57
C,K,0.59
C,L,0.64
C,M,0.57
C,N,0.51
C,T,0.63
C,U,0.64
C3,D,0.5
C3,D3,0.74
C3,E,0.61
C3,E3,0.81
C3,F,0.63
C3,F3,0.68
C3,G,0.46
C3,H,0.72
C3,H3,0.61
C3,I,0.8
C3,I3,0.75
C3,J,0.7
C3,K,0.57
C3,L,0.68
C3,M,0.81
C3,N,0.71
C3,T,0.57
C3,U,0.7
D,D3,0.42
D,E,0.74
D,E3,0.59
D,F,0.64
D,F3,0.56
D,G,0.67
D,H,0.64
D,H3,0.78
D,I,0.57
D,I3,0.58
D,J,0.56
D,K,0.52
D,L,0.67
D,M,0.58
D,N,0.66
D,T,0.71
D,U,0.6
D3,E,0.48
D3,E3,0.7
D3,F,0.54
D3,F3,0.68
D3,G,0.31
D3,H,0.63
D3,H3,0.52
D3,I,0.64
D3,I3,0.78
D3,J,0.64
D3,K,0.38
D3,L,0.55
D3,M,0.66
D3,N,0.56
D3,T,0.44
D3,U,0.56
E,E3,0.69
E,F,0.77
E,F3,0.55
E,G,0.64
E,H,0.73
E,H3,0.71
E,I,0.64
E,I3,0.6
E,J,0.55
E,K,0.64
E,L,0.64
E,M,0.65
E,N,0.67
E,T,0.7
E,U,0.61
E3,F,0.64
E3,F3,0.69
E3,G,0.47
E3,H,0.64
E3,H3,0.6
E3,I,0.76
E3,I3,0.68
E3,J,0.68
E3,K,0.65
E3,L,0.67
E3,M,0.73
E3,N,0.72
E3,T,0.57
E3,U,0.62
F,F3,0.59
F,G,0.56
F,H,0.76
F,H3,0.68
F,I,0.62
F,I3,0.62
F,J,0.57
F,K,0.58
F,L,0.63
F,M,0.68
F,N,0.63
F,T,0.7
F,U,0.59
F3,G,0.35
F3,H,0.75
F3,H3,0.62
F3,I,0.62
F3,I3,0.78
F3,J,0.62
F3,K,0.45
F3,L,0.63
F3,M,0.65
F3,N,0.56
F3,T,0.64
F3,U,0.55
G,H,0.56
G,H3,0.7
G,I,0.42
G,I3,0.42
G,J,0.42
G,K,0.46
G,L,0.56
G,M,0.42
G,N,0.53
G,T,0.65
G,U,0.51
H,H3,0.71
H,I,0.67
H,I3,0.8
H,J,0.62
H,K,0.52
H,L,0.74
H,M,0.69
H,N,0.64
H,T,0.75
H,U,0.65
H3,I,0.55
H3,I3,0.64
H3,J,0.6
H3,K,0.55
H3,L,0.69
H3,M,0.59
H3,N,0.67
H3,T,0.75
H3,U,0.71
I,I3,0.65
I,J,0.57
I,K,0.48
I,L,0.65
I,M,0.83
I,N,0.68
I,T,0.55
I,U,0.64
I3,J,0.65
I3,K,0.45
I3,L,0.7
I3,M,0.72
I3,N,0.58
I3,T,0.61
I3,U,0.69
J,K,0.72
J,L,0.57
J,M,0.62
J,N,0.6
J,T,0.51
J,U,0.55
K,L,0.53
K,M,0.48
K,N,0.61
K,T,0.46
K,U,0.48
L,M,0.64
L,N,0.73
L,T,0.74
L,U,0.61
M,N,0.66
M,T,0.58
M,U,0.69
N,T,0.63
N,U,0.54
T,U,0.6
